题目,第一作者,第二作者,通讯作者,所有作者（以英文逗号隔开）,期刊,JCR分区，选取小分区中最高即可,期刊影响因子,volume，没有填-,number，没有填-,页码,年份,出版商,原文链接,pdf全称（pdf中空格替换为英文下划线_）,文章首页图片名称(大小：636×900像素，保存为pdf全称.jpg格式),摘要（复制粘贴注意从pdf粘贴出来的格式）,
Electronic Structure and Structural Properties of Ti4AlN3 Investigated by Ab initio Calculations,Zhimei Sun ,-,Yanchun Zhou,"Zhimei Sun,Yanchun Zhou",JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,Q3,1.57,71,5,1313-1317,2002,PHYSICAL SOC JAPAN,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=22&SID=7ABp3n8D79fHzHiVpSt&page=1&doc=1,2002jpsj-sun_JPSJ_2002.pdf,2002jpsj-sun_JPSJ_2002.jpg,"The crystal structure, electronic structure and chemical bonding of Ti4AlN3 have been investigated by ab initio pseudopotential calculations. The equilibrium lattice parameters, atomic positions in the unit cell and bond lengths have been obtained by minimizing the total energy. The differences between the calculated and measured lattice constants are generally less than 1%. The electronic structure of Ti4AlN3 shows a metallic-like character and the 3d states of Ti dominate its electronic conductivity. The chemical bonding in Ti4AlN3 is an anisotropic metallic-covalent-ionic character. Ti-I,II and N atoms form strong covalent ionic bond in the Ti-II-N-II-Ti-I-N-I-Ti-I-NII-TiII-Al unit chain, while the bonding between Tin and Al is relatively weak. The strong covalent and ionic bonding in Ti4AlN3 is responsible for its high modulus and strength, while the metallic bonding results in its metallic properties. This kind of anisotropic bonding character results in the anisotropic properties of Ti4AlN3.",
High temperature oxidation and hot corrosion behavior of Ti3SiC2-based materials,Zhimei Sun ,Zhimei Sun ,Zhimei Sun ,"Zhimei Sun,Yanchun Zhou","HIGH-PERFORMANCE CERAMICS 2001, PROCEEDINGS",-,-,224,2,791-796,2002,TRANS TECH PUBLICATIONS LTD,http://apps.webofknowledge.com/full_record.do?product=WOS&search_mode=GeneralSearch&qid=28&SID=7ABp3n8D79fHzHiVpSt&page=1&doc=1,2002kem-sun-2002keyengineeringmater.pdf,2002kem-sun-2002keyengineeringmater.jpg,"The high temperature oxidation behavior of Ti3SiC2 was studied from 900degreesC to 1200degreesC in air. The present results showed that scale growth obeyed a parabolic law below 1100degreesC, while above 1200degreesC it was a two-step parabolic law or linear law depending on the TiC content in Ti3SiC2. The oxide scale was generally composed of an outer layer of coarse-grained TiO2 (rutile) and an inner layer of fine-grained TiO2 and SiO2 (tridymite) above 1000degreesC. A discontinuous SiO2 ""barrier"" was observed within the outer coarse-grained TiO2 layer on the samples oxidized at 1100degreesC and 1200degreesC. The TiC content in Ti3SiC2 is deleterious to its oxidation resistance. Ti3SiC2 demonstrated good hot corrosion behavior beneath Na2SO4 coatings, while beneath 25wt.% NaCl + 75wt.% Na2SO4 coatings, it showed deleterious hot corrosion behavior, suggesting that the presence of NaCl accelerated the hot corrosion of Ti3SiC2 materials.",
"Structure and bulk modulus of M2AlC (M=Ti, V, and Cr)",Zhimei Sun,Rajeev Ahuja,Zhimei Sun,"Zhimei Sun,Rajeev Ahuja,Sa Li,Jochen M Schneider",Applied Physics Letters,Q2,2.65,83,5,899-901,2003,American Institute of Physics,http://xueshu.baidu.com/usercenter/paper/show?paperid=a2a016f0f86ad6ac75265d766486cf65&site=xueshu_se,2003apl-sun_APL_2003.pdf,2003apl-sun_APL_2003.jpg,"We have performed theoretical studies of the bulk modulus of M2AlC , where M=Ti, V, Cr by means of ab initio total energy calculations using the projector augmented wave methods. Our estimated equilibrium volume and the lattice parameters (c/a) agree well (within ±2% and ±0.06%, respectively) with experimental data. The bulk modulus of M2AlC increases as Ti is substituted with V and Cr by 19% and 36%, respectively. This can be understood since the substitution of Ti by V and Cr is associated with an extensive increase in the M–Al and M–C bond energy. © 2003 American Institute of Physics.",
Effect of the composition on the structure of Cr-Al-C investigated by combinatorial thin film synthesis and ab initio calculations,Mertens R,Sun ZM,Mertens R,"Mertens R,Sun ZM,Music D,Schneider JM",ADVANCED ENGINEERING MATERIALS,Q2,2.906,6,11, 903-907,2004,"WILEY-V C H VERLAG GMBH, POSTFACH 101161, 69451 WEINHEIM, GERMANY",https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.200400096,2004aem-raphal.pdf,2004aem-raphal.jpg,"The effect of the chemical composition on the structure of Cr‐Al‐C was studied by combinatorial thin film synthesis. By changing the Cr/C ratio from 1.72 to 3.48 and the Cr/Al ratio from 1.42 to 4.18 the formation of Cr2AlC, Cr2Al and Cr23C6 phases was observed. Furthermore, based on X‐ray diffraction a single phase Cr2AlC composition region is identified in the Cr‐Al‐C phase diagram. Throughout the studied composition range the lattice parameters of Cr2AlC were independent of the chemical composition.",
"Electronic, thermal, and elastic properties of Ti3Si1-xGexC2 solid solutions",Finkel P,Seaman B,Finkel P,"Finkel P,Seaman B,Harrell K,Palma J,Hettinger JD,Lofland SE,Ganguly A,Barsoum MW, Sun Z,Li S,Ahuja R",PHYSICAL REVIEW B,Q1,3.736,70,8,-,2004,"AMERICAN PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.70.085104,2004PRB-finkel.pdf,2004PRB-finkel.jpg,"In this paper we report on the electronic, elastic, and thermal properties of Ti3Si1-xGexC2. The conductivities, Hall coefficients, and magnetoresistances are analyzed within a two-band framework assuming temperature-independent charge carrier concentrations. In this framework, Ti3Si1-xGexC2 is shown to be a compensated material, i.e., the concentration of electrons is nearly equal to that of the holes. Aside from effects of solid solution scattering at low temperature, there appears to be surprisingly little effect on any of the physical properties due to Ge substitution, with the exception of the thermal expansion, which is smallest in x=1.",
Bonding and classification of nanolayered ternary carbides,Sun ZM,Music D,Sun ZM,"Sun ZM,Music D, Ahuja R,Li S,Schneider JM",PHYSICAL REVIEW B,Q1,3.736,70,9,-,2004,"AMERICAN PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.70.085104,2004prb-sun_PRB_2004.pdf,2004prb-sun_PRB_2004.jpg,"We have investigated the elastic properties of nanolayered M2AC, with M=Ti, Zr, Hf, V, Nb, Ta, Cr, Mo, W and A=Al, Ga, Ge, Sn, by ab initio calculations. We suggest that M2AC can be classified into two groups: One where the bulk modulus of the binary MC is conserved and another group where the bulk modulus is decreased. This classification can be understood in terms of coupling between MC and A layers, which is defined by the valence electron population. These results may have implications for the understanding of properties and the performance of this class of solids.",
Ab initio calculations and experimental determination of the structure of Cr2AlC,Schneider JM ,Sun ZM,Schneider JM ,"Schneider JM,Sun ZM,Mertens R,Uestel F,Ahuja R",SOLID STATE COMMUNICATIONS,Q3,1.433,130,7,445-449,2004,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109804001541?via%3Dihub,2004ssc-schneider.pdf,2004ssc-schneider.jpg,"We have calculated the equilibrium volume and the density of states (DOS) of Cr2AlC for antiferromagnetic (AFM), ferromagnetic (FM) and paramagnetic (PM) configurations by ab initio total energy calculations. Based on a comparison of the cohesive energies as well as the DOS for all three magnetic configurations we have identified the FM configuration to be metastable. Furthermore, we report the structural characterization of polycrystalline Cr2AlC thin films grown by magnetron sputtering. Our calculated interplanar distances and equilibrium volume for the PM and AFM configurations are in good agreement with Our experiment. The charge density distribution suggests that the chemical bonding between Cr and C in Cr2AlC is very similar to the one in cubic CrC. (C) 2004 Elsevier Ltd. All rights reserved.",
"Calculated elastic properties of M2AlC (M = Ti, V, Cr, Nb and Ta)",Sun ZM,Li S,Sun ZM,"Sun ZM,Li S,Ahuja R,Schneider JM",SOLID STATE COMMUNICATIONS,Q3,1.433,129,9, 589-592,2004,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",https://www.sciencedirect.com/science/article/pii/S0038109803010883?via%3Dihub,2004ssc-sun_SOLID_2004.pdf,2004ssc-sun_SOLID_2004.jpg,"M2AlC phases, where M is a transition metal, are layered ternary compounds that possess unusual properties. In this paper, we have calculated the elasticproperties of M2AlC, with M = Ti, V, Cr, Nb and Ta, by means of ab initio total energy calculations using the projector augmented-wave method. We have derived the bulk and shear moduli, Young's moduli and Poisson's ratio for ideal polycrystalline M2AlC aggregates. We have estimated the elastic modulus of Cr2AlC with 357.7 GPa while the values of all other phases are in the range 309 +/- 10 GPa. We suggest that this can be understood based on the calculated bond energies for the M-C bonds. Furthermore, our results indicate a profound elastic anisotropy of M2AlC even compared to materials with a well-established anisotropic character such as alpha-alumina. Finally, we have estimated the Debye temperatures of M2AlC from the average sound velocity. (C) 2003 Elsevier Ltd. All rights reserved.",
"Effect of the valence electron concentration on the bulk modulus and chemical bonding in Ta(2)AC and Zr(2)AC (A=Al, Si, and P)",Schneider JM,Music D,Schneider JM,"Schneider JM,Music D,Sun Z",JOURNAL OF APPLIED PHYSICS,Q2,2.328,97,6,-,2005,"AMER INST PHYSICS, CIRCULATION & FULFILLMENT DIV, 2 HUNTINGTON QUADRANGLE, STE 1 N O 1, MELVILLE, NY 11747-4501 USA",https://aip.scitation.org/doi/10.1063/1.1861504,2005jap-schneider.pdf,2005jap-schneider.jpg,"We have studied the effect of the valence electron concentration, on the bulk modulus and the chemical bonding in Ta(2)AC and Zr(2)AC (A=Al, Si, and P) by means of ab initio calculations. Our equilibrium volume and the hexagonal ratio (c/a) agree well (within 2.7% and 1.2%, respectively) with previously published experimental data for Ta2AlC. The bulk moduli of both Ta(2)AC and Zr(2)AC increase as Al is substituted with Si and P by 13.1% and 20.1%, respectively. This can be understood since the substitution is associated with an increased valence electron concentration, resulting in band filling and an extensive increase in cohesion. (C) 2005 American Institute of Physics.",
Theoretical investigation of the bonding and solubility in Nb2-xWxAlC,Schneider JM,Sun ZM,Schneider JM,"Schneider JM,Sun ZM,Music D",JOURNAL OF PHYSICS-CONDENSED MATTER,Q2,2.711,17,38,6047-6056,2005,"IOP PUBLISHING LTD, DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND",https://iopscience.iop.org/article/10.1088/0953-8984/17/38/010,2005jpcm-schneider.pdf,2005jpcm-schneider.jpg,"We have performed theoretical studies of the solubility within Nb2-xWxAlC by means of ab initio total energy calculations. If X is increased from 0 to 2 the bulk modulus, can, be increased by as much as 31%. The bulk modulus deviates from Vegard's rule, which may be understood based on substitution induced changes in the CNb2-xWx bond angle resulting in flattening of the Nb2-xWxC layers upon solid solution formation. This rather extensive increase in the bulk modulus can be understood by considering the changes caused by the substitution of Nb through W for the equilibrium volume and chemical bonding. Based on the energy of formation analysis we suggest that the investigated system shows complete solubility. The bond length calculations suggest that both the Nb-C bond length as well as the W-C bond length are not significantly affected. by variations in x. Based on a comparison to other solid solutions we suggest that this anomaly may be specific to the family of nanolaminates investigated. here.",
"Ab initio study of M2AlN (M = Ti, V, Cr)",Sun ZM,Music D,Sun ZM,"Sun ZM,Music D, Ahuja R,Schneider JM",JOURNAL OF PHYSICS-CONDENSED MATTER,Q2,2.711,17,2,L15-L19,2005,"IOP PUBLISHING LTD, DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 7BE, ENGLAND",https://iopscience.iop.org/article/10.1088/0953-8984/17/2/L02,2005jpcm-sun_ab_initio_study.pdf,2005jpcm-sun_ab_initio_study.jpg,"We have studied M2AlN phases, where M = Ti, V, and Cr, by means of ab initio total energy calculations. The bulk modulus Of M2AlN increases as Ti is replaced with V and Cr by 19.0% and 26.5%, respectively, which can be understood on the basis of the increased number of valence electrons filling the p-d hybridized bonding states. The bulk modulus Of M2AlN is generally higher than that of the corresponding M2AlC phase, which may be explained by an extra electron in the former phases contributing to stronger chemical bonding. This work is important for fundamental understanding of elastic properties of these ternary nitrides and may inspire future experimental research.",
"Electronic origin of shearing in M2AC (M = Ti, V, Cr, A = Al, Ga)",Sun ZM,Music D,Sun ZM,"Sun ZM,Music D, Ahuja R,Li S,Schneider JM",JOURNAL OF PHYSICS-CONDENSED MATTER,Q2,2.711,17,46,7169-7176,2005,"IOP PUBLISHING LTD, DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 8BE, ENGLAND",https://iopscience.iop.org/article/10.1088/0953-8984/17/46/001,2005jpcm-sun-electronic_origin_of_shearing.pdf,2005jpcm-sun-electronic_origin_of_shearing.jpg,"We have studied shearing in M(2)AC (space group P6(3)/MMC, prototype Cr2AlC), where M is Ti, V and Cr, and A is Al and Ga, using ab initio calculations. These compounds can be described as interleaved layers of MC and A. As Ti in Ti2AlC is substituted by V, c(44) increases by 24.3%. Increasing the transition metal valence electron concentration further, through a substitution of V by Cr, results in 2.2% decrease of c(44). The electronic origin of this c(44) versus valence electron concentration dependence may be understood by analysing the decomposed band structure: in the vicinity of the Fermi level, we find two types of dd bonding. One contributes to shearing (t(2g) + e(g) symmetry or MC-MC coupling) and the other does not (e(g) symmetry). We provide evidence that filling of the transition metal dd bonding states with the t(2g) + e(g) symmetry may be responsible for the behaviour of c(44). The results presented enable tailoring of the shear properties Of M(2)AC phases.",
Bonding and classification of nanolayered ternary carbides,Sun ZM,Music D,Sun ZM,"Sun ZM,Music D, Ahuja R,Schneider JM",PHYSICAL REVIEW B,Q1,3.736,71,5,-,2005,"AMER PHYSICAL SOC, ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.71.059903,2005prberratum-sun_PRB_2004Erratum_71_059903.pdf,2005prberratum-sun_PRB_2004Erratum_71_059903.jpg,-,
